"","...1","...2","total_pop","no_rent_burden","rent_burden","severe_burden","median_income","commuters_by_public_transportation","cluster","deaths_per10000","confirmed_cases_per1000"
"741",741,741,-0.324552104522001,-0.405336028856883,-0.115567654415689,-0.212042910229522,-0.0247670546278757,-0.0988059201620418,4,12.7214013112829,63.5091496232508
"742",742,742,-0.276856879172939,-0.68588888994706,1.46285586207303,0.716864943152712,-0.627064965702195,-0.0974150252314452,4,19.2094254247417,103.85896012977
"743",743,743,-0.304960479056819,0.461235577888964,-0.71627416851445,-0.879350518059801,-0.32469554833915,-0.0974150252314452,4,20.4551265660956,86.7425210943493
"744",744,744,-0.335364514963063,-0.274638276840313,2.20573127652959,-0.532851704176335,-0.317754171704429,-0.0991009584806532,4,2.7681660899654,80.2768166089965
"745",745,745,-0.261035513059951,0.0791940046652984,-0.580812168839308,-0.265903720119229,-0.216303282427726,-0.098637326837121,4,5.75394684791599,56.5325277807746
"746",746,746,-0.323114783427966,2.0139824610287,-0.752573473295497,-0.437963383895064,-0.475117468379494,-0.0991852551431136,4,4.70942827540737,51.7095224639729
"747",747,747,-0.270439493283238,1.23557670454587,-0.597349269797222,-0.260503263971553,-0.359402431512759,-0.0973307285689848,4,15.07757013054,78.7604650240051
"748",748,748,-0.243087056182171,0.278157338674551,-0.345739258035831,0.0229201301992876,-0.1023426594357,-0.0976257668875962,4,22.271714922049,74.0763340147054
"749",749,749,-0.310695317994831,1.46407655076299,-0.290403646141921,-1.72976712973378,0.190415621048499,-0.0981315468623586,4,14.2287990893569,60.8281161070006
"750",750,750,-0.290590879475997,0.381957530651056,-0.459865240193224,-0.486016353087475,-0.525842913017846,-0.0991009584806532,4,17.8362126076543,69.4083473475004
"751",751,751,-0.240544659071113,1.7746019099873,1.3691315281827,-1.29412491991159,0.560215554291698,-0.0972042835752942,4,6.8695678145814,79.238971356889
"752",752,752,-0.33159425561087,-0.545517907605577,0.12414130884617,-0.353262464842078,0.70583190589262,-0.098848068493272,4,9.67468859596082,72.5601644697061
"753",753,753,-0.229569737451078,0.545147787814634,1.02225569878563,0.271616111111968,0.027941640477539,-0.097162135244064,4,14.2387732749179,72.2070098576123
"754",754,754,-0.117274512780138,0.115039149287996,0.564562890309091,0.651495622245892,-0.583586013155037,-0.0960662786320788,4,15.9727871034534,85.6170967980478
"755",755,755,0.243052495959778,0.263636690362182,0.0964907195181361,0.980457928199003,1.24199604177679,-0.0515997891842167,4,9.73768004253514,80.7032636163235
"756",756,756,-0.207887134816432,0.902125412351962,0.312131581280077,-0.97021357958238,0.127943231336003,-0.098005101868668,4,14.8151632019565,75.1575580848462
"757",757,757,-0.201332517264486,0.859866154045068,0.942427111823849,-0.449071747537071,0.573564355512317,-0.0972464319065244,4,18.9449468864882,101.761428990279
"758",758,758,-0.0852561991627542,-0.029985155604575,0.352765046413787,0.291278571093148,0.744047616815648,-0.0855713441557587,4,13.9904028451511,72.3709156522535
"759",759,759,-0.265827787159914,1.64036820817071,0.12280482305857,-1.16537259087545,0.196289093585571,-0.0962348719569996,4,30.5891238670695,87.0468277945619
